,date,value
0,01-2000,22
1,01-2000,2
2,01-2000,10
3,01-2000,4
4,01-2000,4
5,01-2000,1
6,01-2000,3
7,01-2000,6
8,01-2000,5
9,01-2000,1
10,01-2000,3
11,01-2000,14
12,01-2000,3
13,01-2000,3
14,01-2000,4
15,01-2000,5
16,01-2000,5
17,01-2000,3
18,01-2000,3
19,01-2000,2
20,01-2000,3
21,01-2000,3
22,01-2000,6
23,01-2000,3
24,01-2000,6
25,01-2000,5
26,01-2000,4
27,01-2000,8
28,01-2000,4
29,01-2000,3
30,02-2000,2
31,02-2000,5
32,02-2000,1
33,02-2000,3
34,02-2000,2
35,02-2000,2
36,02-2000,2
37,02-2000,6
38,02-2000,2
39,02-2000,2
40,02-2000,2
41,02-2000,4
42,02-2000,3
43,02-2000,5
44,02-2000,2
45,02-2000,9
46,02-2000,4
47,02-2000,9
48,02-2000,2
49,02-2000,7
50,02-2000,6
51,02-2000,3
52,02-2000,6
53,02-2000,1
54,03-2000,7
55,03-2000,3
56,03-2000,2
57,03-2000,6
58,03-2000,3
59,03-2000,2
60,03-2000,4
61,03-2000,2
62,03-2000,1
63,03-2000,1
64,03-2000,3
65,03-2000,5
66,03-2000,2
67,03-2000,2
68,03-2000,3
69,03-2000,3
70,03-2000,2
71,03-2000,2
72,03-2000,2
73,03-2000,1
74,03-2000,7
75,03-2000,2
76,03-2000,2
77,03-2000,2
78,03-2000,3
79,03-2000,2
80,04-2000,5
81,04-2000,2
82,04-2000,6
83,04-2000,2
84,04-2000,2
85,04-2000,2
86,04-2000,3
87,04-2000,8
88,04-2000,1
89,04-2000,7
90,04-2000,4
91,04-2000,3
92,04-2000,3
93,04-2000,5
94,04-2000,2
95,04-2000,1
96,04-2000,3
97,04-2000,3
98,04-2000,6
99,04-2000,5
100,04-2000,1
101,04-2000,8
102,04-2000,1
103,05-2000,4
104,05-2000,4
105,05-2000,10
106,05-2000,3
107,05-2000,2
108,05-2000,2
109,05-2000,4
110,05-2000,3
111,05-2000,1
112,05-2000,1
113,05-2000,3
114,05-2000,3
115,05-2000,1
116,05-2000,5
117,05-2000,3
118,05-2000,2
119,05-2000,4
120,05-2000,3
121,05-2000,4
122,05-2000,7
123,05-2000,2
124,05-2000,3
125,05-2000,4
126,05-2000,5
127,05-2000,2
128,05-2000,6
129,05-2000,5
130,05-2000,3
131,05-2000,4
132,05-2000,1
133,06-2000,2
134,06-2000,7
135,06-2000,3
136,06-2000,8
137,06-2000,3
138,06-2000,16
139,06-2000,7
140,06-2000,15
141,06-2000,2
142,06-2000,7
143,06-2000,2
144,06-2000,4
145,06-2000,3
146,06-2000,1
147,06-2000,5
148,06-2000,5
149,06-2000,2
150,06-2000,3
151,06-2000,2
152,06-2000,2
153,06-2000,2
154,06-2000,4
155,06-2000,1
156,06-2000,4
157,06-2000,4
158,06-2000,3
159,06-2000,2
160,06-2000,3
161,07-2000,4
162,07-2000,6
163,07-2000,1
164,07-2000,3
165,07-2000,3
166,07-2000,5
167,07-2000,2
168,07-2000,10
169,07-2000,7
170,07-2000,3
171,07-2000,3
172,07-2000,6
173,07-2000,4
174,07-2000,7
175,07-2000,11
176,07-2000,5
177,07-2000,4
178,07-2000,7
179,07-2000,5
180,07-2000,1
181,07-2000,4
182,07-2000,2
183,07-2000,4
184,07-2000,2
185,07-2000,6
186,07-2000,2
187,07-2000,1
188,07-2000,5
189,07-2000,6
190,07-2000,3
191,08-2000,2
192,08-2000,1
193,08-2000,3
194,08-2000,2
195,08-2000,1
196,08-2000,1
197,08-2000,4
198,08-2000,2
199,08-2000,4
200,08-2000,3
201,08-2000,2
202,08-2000,2
203,08-2000,8
204,08-2000,7
205,08-2000,4
206,08-2000,4
207,08-2000,4
208,08-2000,4
209,08-2000,2
210,08-2000,7
211,08-2000,2
212,08-2000,2
213,08-2000,1
214,08-2000,5
215,08-2000,4
216,08-2000,3
217,08-2000,6
218,08-2000,3
219,08-2000,3
220,08-2000,4
221,08-2000,1
222,09-2000,4
223,09-2000,2
224,09-2000,9
225,09-2000,3
226,09-2000,3
227,09-2000,8
228,09-2000,5
229,09-2000,4
230,09-2000,5
231,09-2000,4
232,09-2000,6
233,09-2000,11
234,09-2000,8
235,09-2000,7
236,09-2000,4
237,09-2000,3
238,09-2000,5
239,09-2000,3
240,09-2000,4
241,09-2000,9
