nperps,nkill,value
1,0,2019
1,1,1861
2,1,1581
2,0,1524
2,2,688
3,0,578
1,2,517
4,0,498
3,1,462
1,3,423
4,1,324
1,4,305
5,0,274
10,0,236
3,3,231
1,5,229
1,6,205
6,0,200
20,0,195
30,0,188
1,7,168
50,0,165
1,8,160
15,0,151
2,3,144
4,2,141
3,2,140
4,4,137
10,1,112
1,9,109
8,0,106
5,1,101
2,4,100
6,1,90
40,0,90
12,0,88
7,0,85
1,10,82
1,11,81
100,0,81
25,0,70
20,1,69
4,3,64
1,12,61
30,1,57
200,0,55
5,5,55
5,2,53
1,14,52
3,4,51
1,16,50
2,5,50
1,13,50
1,15,42
15,1,42
8,1,42
6,6,41
7,1,39
6,2,37
1,20,36
5,3,33
10,2,32
9,0,32
1,18,31
4,5,30
50,1,30
3,6,29
20,2,29
1,17,29
3,5,28
2,6,28
30,2,27
2,7,27
60,0,26
1,19,26
25,1,26
24,0,26
12,1,26
1,21,25
4,6,24
70,0,24
2,8,23
100,1,23
50,2,22
50,3,21
5,4,21
11,0,21
6,3,20
1,31,20
8,2,20
13,0,20
15,2,19
20,4,19
1,26,19
36,0,18
2,9,18
16,0,18
20,3,17
7,2,16
150,0,16
80,0,16
3,7,16
1,22,16
1,25,16
6,4,16
10,3,16
1,23,16
4,7,15
12,2,15
30,3,15
7,7,15
40,1,15
1,24,14
1,28,14
10,4,14
200,1,14
500,0,14
1,27,13
1,32,13
100,3,13
1,38,13
8,4,12
10,10,12
8,8,12
1,30,12
9,1,12
7,3,12
100,5,12
4,9,12
300,1,11
14,0,11
2,11,11
2,13,11
6,7,11
2,10,11
2,12,11
10,5,11
300,0,11
8,3,11
6,8,10
7,5,10
100,4,10
1,29,10
100,6,10
10,6,10
15,3,10
3,9,9
35,0,9
3,8,9
30,4,9
2,14,9
60,1,9
1,40,9
20,5,9
3,10,9
4,8,9
200,2,8
5,6,8
100,10,8
7,4,8
1,35,8
10,12,8
25,2,8
20,6,8
4,10,8
3,12,8
5,8,8
40,2,8
101,2,8
22,2,8
9,3,8
12,12,8
21,0,8
24,1,8
100,2,8
13,1,7
7,6,7
3,11,7
12,5,7
1,41,7
6,5,7
1,42,7
9,4,7
31,2,7
2,18,7
1,34,7
200,3,7
5,7,7
1,37,6
4,12,6
30,9,6
15,15,6
15,4,6
40,4,6
12,11,6
6,10,6
300,2,6
70,1,6
30,6,6
1,43,6
50,6,6
1,46,6
50,5,6
9,2,6
2,22,6
54,0,6
10,9,6
1,39,6
18,0,6
5,13,6
50,4,5
13,13,5
25,3,5
1,50,5
12,3,5
30,5,5
5,9,5
54,1,5
19,0,5
5,11,5
5,10,5
60,3,5
30,12,5
5,15,5
1,36,5
1,33,5
2,36,5
400,10,5
100,7,5
200,12,5
12,6,5
12,4,5
11,2,5
19,11,5
400,0,5
40,5,5
3,24,5
2,27,5
11,1,5
4,11,5
10,7,5
200,6,5
80,2,5
30,8,5
17,0,5
150,1,5
6,11,5
200,5,4
200,8,4
30,30,4
20,8,4
7,13,4
200,4,4
300,6,4
301,0,4
20,15,4
20,13,4
1,51,4
2,23,4
24,2,4
50,18,4
20,9,4
22,0,4
2,16,4
3,13,4
1,58,4
100,8,4
12,10,4
4,22,4
15,9,4
8,5,4
24,4,4
200,10,4
9,5,4
40,7,4
15,5,4
1,69,3
15,6,3
120,8,3
2,15,3
20,12,3
40,13,3
120,0,3
15,8,3
27,0,3
9,9,3
1,61,3
2,26,3
120,7,3
100,19,3
50,7,3
500,1,3
50,16,3
3,19,3
6,16,3
20,7,3
200,11,3
45,0,3
1,57,3
51,0,3
250,0,3
25,9,3
20,10,3
4,24,3
1,56,3
2,25,3
40,3,3
8,6,3
12,7,3
6,9,3
150,3,3
100,9,3
15,11,3
6,12,3
300,7,3
60,4,3
60,10,3
87,6,3
7,10,3
19,10,3
8,9,3
10,13,3
100,25,3
5,16,3
6,22,3
31,3,3
101,0,3
1,54,3
50,14,3
15,10,3
130,0,3
3,28,3
2,33,3
300,3,3
20,16,3
3,34,3
1,62,3
2,19,3
300,4,3
2,30,2
22,1,2
1,45,2
50,17,2
13,16,2
4,25,2
6,13,2
4,18,2
14,4,2
21,1,2
35,11,2
40,10,2
300,10,2
12,9,2
1,76,2
45,1,2
60,11,2
100,18,2
2,47,2
35,1,2
24,5,2
41,3,2
35,8,2
400,11,2
1,66,2
5,30,2
10,11,2
4,19,2
10,15,2
40,9,2
4,32,2
1000,14,2
4,15,2
9,13,2
14,3,2
1,93,2
9,19,2
200,9,2
26,0,2
70,7,2
9,6,2
9,23,2
4,13,2
100,20,2
14,14,2
300,17,2
5,12,2
9,11,2
6,24,2
1,65,2
40,33,2
22,22,2
7,18,2
200,13,2
1,53,2
1,48,2
20,24,2
13,3,2
24,3,2
13,2,2
700,40,2
2,17,2
100,81,2
20,20,2
70,2,2
300,12,2
30,10,2
7,17,2
14,9,2
1,91,2
8,7,2
400,1,2
6,45,2
2,39,2
20,25,2
300,15,2
200,19,2
200,18,2
13,7,2
150,12,2
24,10,2
11,3,2
7,16,2
3,15,2
15,14,2
7,9,2
200,15,2
40,14,2
16,10,2
140,20,2
350,62,2
9,10,2
40,22,2
12,8,2
2,24,2
25,8,2
1000,0,2
6,15,2
24,7,2
3,53,2
200,17,2
10,8,2
5,14,2
1,59,2
75,0,2
20,14,2
30,11,2
1000,3,2
30,15,2
15,16,2
25,4,2
1,79,2
5,1385,2
70,6,2
9,7,2
15,7,2
450,0,2
45,2,2
2,57,2
3000,0,2
2,250,2
4,44,2
1,70,2
100,14,2
2,44,2
1,101,2
15,22,2
100,12,2
3,59,2
10,17,2
100,11,2
1,49,2
150,14,2
20,11,2
4,14,2
60,19,2
1,44,2
7,101,2
3,27,2
5,21,1
84,15,1
600,20,1
5,17,1
50,20,1
2,105,1
14,6,1
300,42,1
50,37,1
41,5,1
40,35,1
2,46,1
16,18,1
40,18,1
200,230,1
1000,40,1
300,16,1
40,11,1
17,174,1
30,25,1
25,12,1
7,21,1
3,93,1
32,20,1
21,22,1
4,152,1
3,46,1
101,8,1
101,7,1
4,58,1
2000,41,1
36,11,1
25,25,1
4,21,1
18,24,1
200,112,1
80,5,1
22,24,1
20,23,1
18,8,1
150,5,1
10,73,1
35,10,1
8,22,1
1,52,1
58,14,1
60,13,1
22,14,1
47,6,1
800,38,1
100,27,1
19,22,1
15,33,1
30,20,1
1000,25,1
13,15,1
11,11,1
16,39,1
3,17,1
27,52,1
21,20,1
16,40,1
34,5,1
3,39,1
17,13,1
16,9,1
140,23,1
50,30,1
13,14,1
50,97,1
50,31,1
26,33,1
30,13,1
13,22,1
41,170,1
200,14,1
58,25,1
12,20,1
8,24,1
32,25,1
31,27,1
18,11,1
47,10,1
1,60,1
47,11,1
80,9,1
1000,30,1
3,57,1
21,14,1
1,110,1
1,116,1
60,2,1
1,47,1
15,21,1
3,18,1
2,37,1
50,19,1
17,12,1
300,101,1
28,20,1
8,28,1
21,17,1
2,38,1
60,9,1
5,22,1
5,26,1
52,0,1
5,25,1
6,47,1
500,24,1
100,24,1
6,32,1
6,40,1
82,2,1
17,2,1
1000,466,1
38,0,1
35,31,1
1,150,1
4,100,1
1000,4,1
2000,330,1
100,28,1
30,22,1
12,17,1
5,27,1
105,1,1
3,25,1
75,10,1
50,29,1
80,1,1
10,20,1
11,39,1
87,19,1
41,4,1
40,16,1
90,97,1
50,9,1
60,17,1
201,7,1
13,8,1
201,0,1
40,32,1
40,20,1
1,74,1
45,8,1
2,40,1
28,2,1
34,6,1
31,32,1
28,28,1
12,14,1
11,15,1
1,104,1
16,25,1
3,60,1
300,56,1
32,2,1
1,75,1
12,24,1
7,12,1
3,83,1
200,16,1
1,87,1
1,383,1
6,28,1
3,48,1
24,17,1
3000,59,1
40,15,1
80,23,1
3,43,1
100,47,1
8,20,1
500,17,1
150,60,1
3,71,1
26,1,1
13,4,1
33,12,1
1,71,1
26,28,1
40,8,1
5,20,1
36,9,1
25,311,1
10,30,1
70,5,1
6,17,1
1,588,1
50,128,1
15,12,1
4,46,1
300,45,1
75,2,1
2,34,1
350,0,1
6,37,1
150,77,1
101,9,1
200,30,1
4,47,1
700,108,1
300,35,1
1,127,1
10,36,1
60,12,1
13,10,1
3,33,1
2,59,1
1,98,1
200,43,1
3,67,1
70,95,1
500,4,1
11,8,1
300,18,1
4,36,1
25,35,1
50,11,1
60,16,1
140,0,1
10,14,1
50,10,1
1,64,1
250,15,1
14,8,1
10,80,1
40,6,1
25,5,1
300,11,1
21,31,1
7,25,1
22,15,1
80,22,1
80,10,1
28,0,1
50,25,1
151,0,1
150,9,1
5000,3,1
8,38,1
400,34,1
400,3,1
1,72,1
300,22,1
100,82,1
150,10,1
2,31,1
24,28,1
35,3,1
53,1,1
150,16,1
8,14,1
50,12,1
150,4,1
50,15,1
8,19,1
25,18,1
100,17,1
12,16,1
12,15,1
9,53,1
50,8,1
14,21,1
8,13,1
2,28,1
3,21,1
16,3,1
1,141,1
150,6,1
200,37,1
24,14,1
125,1,1
75,1,1
8,10,1
150,2,1
100,13,1
3,40,1
100,30,1
3,20,1
2,106,1
3,44,1
2,66,1
7,28,1
2,29,1
156,0,1
100,29,1
2,43,1
1,83,1
70,11,1
2,51,1
400,9,1
70,8,1
11,5,1
1,77,1
600,70,1
1,102,1
230,0,1
45,4,1
2,52,1
7,46,1
2,58,1
3,64,1
125,0,1
8,15,1
21,13,1
21,5,1
800,2,1
550,2,1
550,3,1
21,6,1
8,25,1
18,1,1
250,9,1
50,28,1
2,82,1
80,34,1
21,21,1
4,68,1
2,32,1
